,_id,Id,Marka,Seri,Model,Yıl,Km,Renk,Vites,Yakıt,Sehir,Tarih,Fiyat
89782,5e179871bc3087fa6cb10a53,777766422,Volkswagen,Golf,1.4 TSI Trendline,2010,63.000,Siyah,Manuel,Benzin,Antalya,09 Ocak 2020,70.000 TL
89783,5e179871bc3087fa6cb10a54,777789437,Volkswagen,Jetta,1.6 FSi Midline,2008,110.000,Mavi,Manuel,Benzin,İstanbul,09 Ocak 2020,45.000 TL
89784,5e179871bc3087fa6cb10a55,777758865,Volkswagen,Bora,1.6 Pacific,2005,172.000,Gümüş Gri,Manuel,Benzin,Ankara,09 Ocak 2020,42.000 TL
89785,5e179871bc3087fa6cb10a56,777733746,Volkswagen,Jetta,1.6 FSi Comfortline,2006,248.000,Siyah,Manuel,Benzin,Hatay,09 Ocak 2020,36.500 TL
89786,5e179871bc3087fa6cb10a57,777733786,Volkswagen,Golf,1.6 FSi Comfortline,2004,237.000,Mavi,Manuel,Benzin,Konya,09 Ocak 2020,47.000 TL
89787,5e179871bc3087fa6cb10a58,777727321,Volkswagen,Polo,1.2 Trendline,2012,156.000,Beyaz,Manuel,Benzin,Antalya,09 Ocak 2020,51.250 TL
89788,5e179871bc3087fa6cb10a59,777785134,Volkswagen,Golf,1.0 TSI Midline Plus,2017,83.500,Beyaz,Manuel,Benzin,Mersin,09 Ocak 2020,119.000 TL
89789,5e179871bc3087fa6cb10a5a,777719858,Volkswagen,Polo,1.2 Trendline,2013,143.000,Beyaz,Manuel,Benzin,Manisa,09 Ocak 2020,57.500 TL
89790,5e179871bc3087fa6cb10a5b,777720430,Volkswagen,Golf,1.0 TSI Midline Plus,2018,16.500,Beyaz,Manuel,Benzin,Bursa,09 Ocak 2020,135.000 TL
89791,5e179871bc3087fa6cb10a5c,777782897,Volkswagen,Golf,1.6 FSi Midline,2004,185.000,Gri,Manuel,Benzin,Antalya,09 Ocak 2020,48.500 TL
89792,5e179871bc3087fa6cb10a5d,777715760,Volkswagen,Jetta,1.4 TSI Tour,2009,180.000,Siyah,Manuel,Benzin,Bitlis,09 Ocak 2020,48.000 TL
89793,5e179871bc3087fa6cb10a5e,777720832,Volkswagen,Golf,1.4 TSI Trendline,2012,132.050,Beyaz,Manuel,Benzin,Ankara,09 Ocak 2020,77.000 TL
89794,5e179871bc3087fa6cb10a5f,777744111,Volkswagen,Golf,1.0 TSI Midline Plus,2019,1.750,Gri,Manuel,Benzin,Aydın,09 Ocak 2020,151.000 TL
89795,5e179871bc3087fa6cb10a60,777753790,Volkswagen,Golf,1.4 TSI Highline,2017,47.500,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,173.000 TL
89796,5e179871bc3087fa6cb10a61,776254977,Volkswagen,Jetta,1.2 TSI Comfortline,2012,82.000,Beyaz,Manuel,Benzin,Kütahya,09 Ocak 2020,89.999 TL
89797,5e179871bc3087fa6cb10a62,777775853,Volkswagen,Polo,1.4 Comfortline,2012,128.000,Beyaz,Manuel,Benzin,Sakarya,09 Ocak 2020,67.749 TL
89798,5e179871bc3087fa6cb10a63,777765125,Volkswagen,Jetta,1.4 TSI BlueMotion Comfortline,2016,65.000,Beyaz,Manuel,Benzin,Denizli,09 Ocak 2020,127.000 TL
89799,5e179871bc3087fa6cb10a64,777772733,Volkswagen,Jetta,1.4 TSI Comfortline,2015,69.000,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,93.900 TL
89800,5e179871bc3087fa6cb10a65,777769194,Volkswagen,Jetta,1.6 FSi Midline,2006,143.000,Gümüş Gri,Manuel,Benzin,Mersin,09 Ocak 2020,59.500 TL
89801,5e179871bc3087fa6cb10a66,754060552,Volkswagen,Bora,1.6 Pacific,2003,125.000,Beyaz,Manuel,Benzin,İstanbul,09 Ocak 2020,51.900 TL
